year,month,day,cruise,station,depth_m,temp_C,sal_PSU,density_kg_m-3,PAR,fluor_mg_m-3,turbidity_NTU,O2conc_umol_kg-1,O2sat_percent,pH
2024,9,5,1,1,31.064,15.5165,31.4089,23.0947,7.55E-05,1.0057,1.2007,213.502,84.914,8.278
2024,9,5,1,1,31.227,15.5101,31.4098,23.0969,7.55E-05,1.0131,1.2239,213.715,84.989,8.283
2024,9,5,1,1,31.404,15.5029,31.4121,23.1002,7.55E-05,1.0204,1.2471,213.81,85.016,8.288
2024,9,5,1,1,31.592,15.468,31.4243,23.1172,7.55E-05,1.0204,1.2297,213.806,84.963,8.294
2024,9,5,1,1,31.776,15.4547,31.4144,23.1125,6.02E-05,1.0213,1.2007,213.612,84.858,8.299
2024,9,5,1,1,31.951,15.4434,31.4191,23.1185,6.02E-05,1.0131,1.1862,213.208,84.681,8.304
2024,9,5,1,1,32.12,15.4324,31.4192,23.121,6.02E-05,0.9911,1.1514,212.855,84.523,8.31
2024,9,5,1,1,32.283,15.4733,31.4045,23.1008,6.02E-05,0.992,1.1949,212.526,84.451,8.315
2024,9,5,1,1,32.456,15.4295,31.4274,23.128,6.02E-05,0.992,1.5283,212.771,84.49,8.32
2024,9,5,1,1,32.644,15.4139,31.4204,23.1259,6.02E-05,0.9911,1.5283,212.923,84.52,8.324
2024,9,5,1,1,32.84,15.4165,31.4185,23.124,7.55E-05,1.0057,1.1572,212.818,84.481,8.327
2024,9,5,1,1,33.007,15.4201,31.4172,23.1222,6.02E-05,1.0057,1.1514,212.333,84.294,8.33
2024,9,5,1,1,33.159,15.4303,31.4155,23.1186,6.02E-05,0.9929,1.2732,211.853,84.119,8.334
2024,9,5,1,1,33.318,15.4332,31.4163,23.1187,6.02E-05,0.9911,1.2935,211.754,84.085,8.338
2024,9,5,1,1,33.479,15.4355,31.4156,23.1176,6.02E-05,0.9682,1.3283,212.061,84.21,8.344
2024,9,5,1,1,33.655,15.4261,31.4186,23.1219,6.02E-05,0.9627,1.3399,212.551,84.391,8.35
